datetime,open,high,low,close,volume
2025-12-29,272.69000,277.84000,269,271.010010,110986500
2025-12-22,272.85999,275.42999,269.56000,273.39999,105646200
2025-12-15,280.14999,280.14999,266.95001,273.67001,334459100
2025-12-08,278.13000,280.029999,273.81000,278.28000,176224300
2025-12-01,278.010010,288.62000,276.14001,278.78000,235050800
2025-11-24,270.89999,280.38000,270.89999,278.85001,166067000
2025-11-17,268.82001,275.42999,265.32001,271.48999,235974500
2025-11-10,268.95999,276.70001,267.45999,272.41000,232952800
2025-11-03,270.42001,273.39999,266.25,268.47000,242583900
2025-10-27,264.88000,277.32001,264.64999,270.37000,293563300
2025-10-20,255.89000,265.29001,255.42999,262.82001,253202800
2025-10-13,249.38000,253.38000,244.70000,252.28999,196438500
2025-10-06,257.98999,259.070007,244,245.27000,213437900
2025-09-29,254.56000,259.23999,253.0099945,258.019989,218331700
2025-09-22,248.30000,257.60001,248.12000,255.46001,309374700
2025-09-15,237,246.30000,235.029999,245.5,360619500
2025-09-08,239.30000,240.14999,225.95000,234.070007,304787000
2025-09-01,229.25,241.32001,226.97000,239.69000,212923200
2025-08-25,226.48000,233.41000,224.69000,232.14000,194310800
2025-08-18,231.70000,233.12000,223.78000,227.75999,192241700
2025-08-11,227.92000,235.12000,224.75999,231.59000,295265800
2025-08-04,204.50999,231,201.67999,229.35001,431826300
2025-07-28,214.029999,214.85001,201.5,202.38000,319915100
2025-07-21,212.10001,215.78000,211.63000,213.88000,231062200
2025-07-14,209.92999,212.39999,207.53999,211.17999,225669600
2025-07-07,212.67999,216.23000,207.22000,211.16000,226036700
2025-06-30,202.0099945,214.64999,199.25999,213.55000,273599300
2025-06-23,201.63000,203.67000,198.96001,201.080002,273391700
2025-06-16,197.30000,201.70000,195.070007,201,224085100
2025-06-09,204.39000,206,195.70000,196.45000,283877000
2025-06-02,200.28000,206.24001,200.12000,203.92000,227142700
2025-05-26,198.30000,203.81000,196.78000,200.85001,223844900
2025-05-19,207.91000,209.48000,193.46001,195.27000,273024200
2025-05-12,210.97000,213.94000,206.75,211.25999,264778300
2025-05-05,203.10001,204.10001,193.25,198.53000,275704500
2025-04-28,210,214.56000,202.16000,205.35001,286233500
2025-04-21,193.27000,209.75,189.81000,209.28000,238181400
2025-04-14,211.44000,212.94000,192.37000,196.98000,263763500
2025-04-07,177.20000,200.61000,169.21001,198.14999,675037600
2025-03-31,217.0099945,225.62000,187.34000,188.38000,366947800
2025-03-24,221,225.020004,217.67999,217.89999,190172600
2025-03-17,213.31000,218.84000,209.97000,218.27000,287881900
2025-03-10,235.53999,236.16000,208.42000,213.49001,332232000
2025-03-03,241.78999,244.029999,229.23000,239.070007,239653700
2025-02-24,244.92999,250,230.20000,241.84000,241760300
2025-02-17,244.14999,248.69000,241.84000,245.55000,166541000
