event,reason,step,position,entry_price,exit_price,realized_pips,cost_pips,net_pips,equity_usd,time_in_trade
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,30,-1,33.03998396987574,33.05198396987574,-120.00000000000455,1.0,-121.00000000000455,8789.999999999955,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,31,-1,34.25998830740174,34.27198830740174,-120.00000000000455,1.0,-121.00000000000455,7579.999999999909,0
CLOSE,TP_HIT,32,-1,32.21999597296922,32.21399597296922,60.000000000002274,1.0,59.000000000002274,8169.999999999932,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,33,-1,31.779991861136306,31.791991861136307,-120.00000000000455,1.0,-121.00000000000455,6959.999999999886,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,34,-1,31.4799921555048,31.4919921555048,-120.00000000000455,1.0,-121.00000000000455,5749.999999999841,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,35,-1,31.489999094140156,31.501999094140157,-120.00000000000455,1.0,-121.00000000000455,4539.999999999795,0
CLOSE,SL_HIT,36,-1,32.359994358548846,32.37199435854885,-120.00000000000455,1.0,-121.00000000000455,3329.99999999975,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,37,-1,33.31999666504861,33.331996665048614,-120.00000000000455,1.0,-121.00000000000455,2119.9999999997044,0
CLOSE,TP_HIT,38,-1,32.85999160906179,32.85399160906179,60.000000000002274,1.0,59.000000000002274,2709.999999999727,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,39,-1,31.569987344817545,31.581987344817545,-120.00000000000455,1.0,-121.00000000000455,1499.9999999996817,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,40,-1,32.0899863412239,32.1019863412239,-120.00000000000455,1.0,-121.00000000000455,289.9999999996362,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,41,-1,31.329998938026865,31.341998938026865,-120.00000000000455,1.0,-121.00000000000455,-920.0000000004093,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,42,-1,31.41999571018853,31.43199571018853,-120.00000000000455,1.0,-121.00000000000455,-2130.0000000004547,0
CLOSE,SL_HIT,43,-1,32.25998782143889,32.27198782143889,-120.00000000000455,1.0,-121.00000000000455,-3340.0000000005,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,44,-1,33.47999255888468,33.49199255888468,-120.00000000000455,1.0,-121.00000000000455,-4550.000000000546,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,45,-1,32.14999273377354,32.16199273377354,-120.00000000000455,1.0,-121.00000000000455,-5760.000000000591,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,46,-1,33.75999807040066,33.77199807040066,-120.00000000000455,1.0,-121.00000000000455,-6970.000000000637,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,47,-1,34.19999644032037,34.21199644032037,-120.00000000000455,1.0,-121.00000000000455,-8180.000000000682,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,48,-1,35.509984733136456,35.521984733136456,-120.00000000000455,1.0,-121.00000000000455,-9390.000000000728,0
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,49,-1,34.67999997703734,34.69199997703734,-120.00000000000455,1.0,-121.00000000000455,-10600.000000000773,0
