seed,trader_count,capital_multiple,trader_base_qty,traditional_return_fwd,tokenized_return_fwd,spread_return_fwd,traditional_volatility_fwd,tokenized_volatility_fwd,spread_volatility_fwd,traditional_sharpe_fwd,tokenized_sharpe_fwd,spread_sharpe_fwd,traditional_micro_return_fwd,tokenized_micro_return_fwd,spread_micro_return_fwd,traditional_stress_fwd,tokenized_stress_fwd,spread_stress_fwd
42,1000,40.0,2,-4.581787809896509,-3.0600777512663324,1.5217100586301768,3.326098433675722,4.9220679560918414,1.5959695224161194,-1.3775262221668845,-0.6217057095847285,0.755820512582156,6.091357372620498,17.512507061612204,11.421149688991706,74.16666666666667,45.0,-29.16666666666667
43,1000,40.0,2,0.14428795653060877,1.6988440540458116,1.5545560975152029,3.5077909080816414,5.692535557182779,2.184744649101138,0.041133568194780944,0.29843363066959305,0.25730006247481213,6.580597282288814,23.013786751268285,16.43318946897947,77.5,65.0,-12.5
44,1000,40.0,2,25.53310294183202,28.172516780806657,2.6394138389746367,3.6721957939747347,4.73285303615838,1.060657242183645,6.9530886625724655,5.952544176963093,-1.0005444856093728,11.35499293708573,26.969296304005574,15.614303366919845,80.83333333333333,74.16666666666666,-6.666666666666671
45,1000,40.0,2,17.627295996771707,19.020202660059926,1.392906663288219,3.1260283369310353,4.353392026417387,1.2273636894863516,5.63887914531102,4.369053497741749,-1.269825647569271,9.989210655158033,23.218201032180264,13.228990377022232,63.33333333333333,44.16666666666667,-19.166666666666657
46,1000,40.0,2,-16.14030889353426,-9.97979968608571,6.16050920744855,3.6556217084485456,4.367692863319164,0.712071154870618,-4.415202168274749,-2.284913339465383,2.1302888288093658,5.5890718467405565,13.219407425971962,7.630335579231406,90.83333333333334,70.83333333333333,-20.000000000000014
47,1000,40.0,2,0.9774042713927455,15.171350746426238,14.193946475033492,3.6608217212820295,4.191677386676624,0.5308556653945948,0.26699040428837273,3.6193984762875226,3.35240807199915,6.512338585425237,26.029065590336398,19.51672700491116,83.33333333333334,63.33333333333333,-20.000000000000014
48,1000,40.0,2,12.13989597190257,11.119088006268907,-1.0208079656336633,4.136379415498928,4.282548918586515,0.14616950308758625,2.9349087093932025,2.596371510903567,-0.3385371984896355,5.72003074771672,25.191792676794257,19.471761929077537,92.5,45.0,-47.5
49,1000,40.0,2,14.202157984754749,15.519987987734352,1.317830002979603,3.234039346720624,4.888634937461225,1.654595590740601,4.391461099307898,3.1747079064558297,-1.2167531928520687,6.614568678109456,23.025178734330698,16.41061005622124,77.5,61.66666666666667,-15.833333333333329
50,1000,40.0,2,4.758217961621747,14.2427463042341,9.484528342612354,2.628761482351416,3.4979377934692053,0.8691763111177893,1.810060742888526,4.071755172669421,2.2616944297808956,0.028722943630143938,27.57750551263891,27.548782569008768,68.33333333333333,58.33333333333333,-10.0
51,1000,40.0,2,4.305411854135444,5.651630219294224,1.34621836515878,3.2057363079686,3.766321514105747,0.560585206137147,1.3430336872790645,1.5005703039763225,0.15753661669725805,6.7313703891154875,22.77860842244548,16.047238033329993,67.5,35.0,-32.5
52,1000,40.0,2,3.9133709185863896,-0.07273051467396874,-3.9861014332603584,2.79243689701699,4.611544822813897,1.8191079257969074,1.401417852187397,-0.015771399274742307,-1.4171892514621394,6.602296675411812,16.600621215741352,9.998324540329541,57.5,40.0,-17.5
53,1000,40.0,2,2.336291822978609,4.324181019212592,1.9878891962339829,2.7680952999803554,3.5489255099397683,0.7808302099594129,0.8440070047426435,1.2184479519509501,0.3744409472083067,5.6696380854657,21.810604306552438,16.14096622108674,65.83333333333333,46.66666666666667,-19.166666666666657
54,1000,40.0,2,9.97557662394335,12.588479017246513,2.6129023933031625,3.1757326417421328,6.580921289037746,3.405188647295613,3.141189057549562,1.9128748794209003,-1.2283141781286615,0.5352683811759684,25.65528567019375,25.12001728901778,78.33333333333334,56.666666666666664,-21.66666666666668
55,1000,40.0,2,12.847962724438155,10.094526207619815,-2.75343651681834,3.2185121462495365,3.375545985305223,0.15703383905568646,3.9918950560461957,2.9904869468715147,-1.001408109174681,5.536940353429087,25.445984890017257,19.90904453658817,83.33333333333334,49.166666666666664,-34.16666666666668
56,1000,40.0,2,12.507067763724367,14.591852774669146,2.0847850109447794,3.5799565116811602,3.5941081615352983,0.014151649854138082,3.493636786624261,4.059937018822475,0.566300232198214,6.590525477024833,25.891448360250237,19.300922883225404,85.83333333333333,40.0,-45.83333333333333
57,1000,40.0,2,12.686547904774637,16.82209881496184,4.135550910187204,4.0312304385529085,7.043535904226664,3.012305465673755,3.1470659140311334,2.3883031255462597,-0.7587627884848738,-3.071756973653872,27.248823204873872,30.320580178527745,95.0,80.0,-15.0
58,1000,40.0,2,16.23204318784883,16.071566826439177,-0.16047636140965338,3.3720305638404233,4.701631990614241,1.3296014267738179,4.81372955569005,3.4182953618068095,-1.3954341938832404,7.065210449000436,26.48488617551481,19.419675726514374,80.83333333333333,50.83333333333333,-30.0
59,1000,40.0,2,-1.7809591512583545,7.446900858923922,9.227860010182276,3.2883156646897884,3.6432823110023653,0.3549666463125769,-0.5416022465186188,2.044008732574742,2.585610979093361,6.196407929469805,25.01467740380823,18.818269474338422,60.83333333333333,40.833333333333336,-19.999999999999993
60,1000,40.0,2,10.651031952157396,11.515352003960299,0.8643200518029026,3.2704345722744415,3.9528595209474147,0.6824249486729732,3.25676350245713,2.9131700590261094,-0.3435934434310206,7.829547080011956,77.23394738585911,69.40440030584716,79.16666666666666,50.0,-29.166666666666657
61,1000,40.0,2,-8.63616208112502,-2.1995115324788705,6.436650548646149,3.4175659847451736,3.298358460348385,-0.1192075243967885,-2.5269920521429126,-0.6668503617543589,1.8601416903885537,4.604476635106236,18.70454032407014,14.100063688963905,88.33333333333334,65.83333333333333,-22.500000000000014
62,1000,40.0,2,-3.522268441291221,2.481987466890012,6.004255908181233,3.1500918484528366,4.012516199766385,0.8624243513135488,-1.1181478543303993,0.6185613573434338,1.736709211673833,6.835179966559624,24.928243775530756,18.09306380897113,55.0,27.5,-27.5
63,1000,40.0,2,11.974023475533224,14.02150477088715,2.0474812953539256,3.2477683117116274,3.596872141360112,0.3491038296484845,3.686846574724635,3.898249428901049,0.21140285417641413,1.8847633896372562,25.879721015923153,23.994957626285895,83.33333333333333,45.833333333333336,-37.49999999999999
64,1000,40.0,2,17.62776522589864,20.58414334011369,2.9563781142150525,3.056600084061134,3.9927429133256727,0.9361428292645386,5.767115337665505,5.155389111433813,-0.611726226231692,-2.9383521350958564,25.94171747744587,28.880069612541725,65.83333333333334,48.33333333333333,-17.500000000000014
65,1000,40.0,2,1.1817535561702508,1.4337295973310349,0.2519760411607841,2.2304274920143086,2.135068599546697,-0.09535889246761142,0.5298327609399237,0.6715145347720605,0.14168177383213676,4.387171473591667,21.484922732847988,17.09775125925632,45.83333333333333,31.666666666666668,-14.16666666666666
66,1000,40.0,2,-3.39628042071084,-6.190070642445056,-2.793790221734216,2.9842376314456405,4.1625396719963454,1.178302040550705,-1.1380730491846238,-1.4870898850740109,-0.34901683588938703,5.346950780260951,19.68650884048575,14.3395580602248,78.33333333333333,63.33333333333333,-15.0
67,1000,40.0,2,18.08385593727344,23.005834864193364,4.921978926919923,4.150158907331353,4.843959273951747,0.693800366620394,4.357388799095833,4.749386516915322,0.3919977178194891,12.668013187450189,25.42576339500855,12.75775020755836,93.33333333333333,55.0,-38.33333333333333
68,1000,40.0,2,32.4863747592268,27.722291433518453,-4.764083325708345,2.8482667317608317,5.77212861903135,2.9238618872705184,11.405664503599121,4.80278477200161,-6.602879731597511,6.875840161653524,26.788810626349637,19.912970464696112,57.5,54.16666666666667,-3.3333333333333286
69,1000,40.0,2,17.0998824581037,22.408975414739896,5.309092956636196,3.524129882908083,6.16342393529937,2.6392940523912873,4.852228216967139,3.6357997843371526,-1.2164284326299861,10.212024713535284,77.70334095654768,67.49131624301239,78.33333333333333,78.33333333333333,0.0
70,1000,40.0,2,4.787544782054809,5.002451722188206,0.21490694013339695,3.2636497932820516,4.248108168413285,0.9844583751312337,1.466929690774288,1.1775716445696522,-0.2893580462046357,6.571242125556065,24.82628087731442,18.255038751758356,75.0,51.66666666666667,-23.33333333333333
71,1000,40.0,2,31.185671619380106,25.778744389779252,-5.4069272296008535,2.689169192572664,5.787136526751142,3.0979673341784775,11.596768141444278,4.454490449744282,-7.142277691699996,7.231369374644792,26.602884478080814,19.37151510343602,55.83333333333333,60.833333333333336,5.000000000000007
72,1000,40.0,2,16.342546647240574,20.369001785416827,4.026455138176253,3.5402911118462486,6.287171715642035,2.7468806037957867,4.616158991150871,3.2397718253408287,-1.3763871658100424,0.5126146304357038,23.29152002803778,22.778905397602077,77.5,60.83333333333333,-16.66666666666667
73,1000,40.0,2,21.78138145747259,34.34405287273803,12.562671415265442,2.9488402272435086,5.2524438514124565,2.303603624168948,7.386423060917479,6.538680630256034,-0.8477424306614445,9.776097098228798,30.331315733490307,20.55521863526151,67.5,55.833333333333336,-11.666666666666664
74,1000,40.0,2,-0.33362190924639545,3.5267261179970477,3.860348027243443,3.206917960690906,4.953059998789951,1.7461420380990447,-0.10403194385880678,0.7120297591506339,0.8160617030094407,5.487104160366352,21.601353272803504,16.11424911243715,85.83333333333334,58.33333333333333,-27.500000000000014
75,1000,40.0,2,-4.47386511070288,-2.2203922286271993,2.2534728820756804,3.2872581940360304,4.6255343091995185,1.338276115163488,-1.3609716203064528,-0.48002935016851145,0.8809422701379414,4.140962434342832,15.611258976255504,11.470296541912672,83.33333333333334,59.16666666666667,-24.16666666666667
76,1000,40.0,2,-5.021924730955751,-3.15955432617524,1.8623704047805112,2.984174650464329,2.4108468983208517,-0.5733277521434772,-1.6828521514899788,-1.3105578493498948,0.37229430214008397,5.220470939103894,21.151394550745707,15.930923611641813,62.5,39.16666666666667,-23.33333333333333
77,1000,40.0,2,4.71270273630966,3.038962440554527,-1.6737402957551328,2.289887212557719,4.629523264553523,2.3396360519958037,2.05805015656022,0.6564309685670427,-1.4016191879931772,7.1065731129270615,23.425328742302163,16.3187556293751,64.16666666666667,58.33333333333333,-5.833333333333343
78,1000,40.0,2,1.4130835157461608,7.703099962227045,6.290016446480884,3.6983082343112503,4.709293836563366,1.0109856022521155,0.3820891678622684,1.6357229405435498,1.2536337726812814,5.19159831619147,25.59430334400725,20.40270502781578,80.83333333333333,35.0,-45.83333333333333
79,1000,40.0,2,8.266644143668579,9.13307572654265,0.8664315828740712,3.8156999111010372,5.400912287683205,1.585212376582168,2.166481729765589,1.6910246343697626,-0.47545709539582637,1.338698511595715,25.4793888358263,24.140690324230583,71.66666666666667,71.66666666666667,0.0
80,1000,40.0,2,-6.928871902794498,0.6332247067904584,7.562096609584956,3.039185095214505,3.218455377381619,0.17927028216711394,-2.2798453156751415,0.19674801497655675,2.4765933306516983,5.683325301821385,22.28938531172433,16.606060009902947,80.83333333333334,49.166666666666664,-31.66666666666668
81,1000,40.0,2,-3.7901982727675865,-3.2421386525147144,0.548059620252872,2.623653450340423,3.9879898608892352,1.364336410548812,-1.444626108023452,-0.8129756507936026,0.6316504572298494,6.243655255367964,21.60017291588168,15.356517660513715,54.166666666666664,37.5,-16.666666666666664
82,1000,40.0,2,8.981514718544648,17.15759764071596,8.176082922171311,3.7828040924128463,5.0036436629863745,1.2208395705735282,2.3743007829982083,3.4290206889903945,1.0547199059921861,5.801340697689228,24.111190298158714,18.309849600469487,95.83333333333334,60.0,-35.83333333333334
83,1000,40.0,2,24.158730829057482,14.669275580612396,-9.489455248445086,3.1542122252720612,4.785771686625174,1.6315594613531128,7.659196370965087,3.065184998609255,-4.594011372355832,7.720086774658674,76.10579153137631,68.38570475671764,70.83333333333333,54.166666666666664,-16.666666666666664
