seed,trader_count,traditional_return_fwd,tokenized_return_fwd,spread_return_fwd,traditional_volatility_fwd,tokenized_volatility_fwd,spread_volatility_fwd,traditional_micro_return_fwd,tokenized_micro_return_fwd,spread_micro_return_fwd,traditional_stress_fwd,tokenized_stress_fwd,spread_stress_fwd
0,1000,9.923492190854265,13.784309447224619,3.8608172563703533,3.288660431761593,3.7407886043871885,0.4521281726255957,11.358869804539173,9.14599122167099,-2.212878582868184,80.83333333333334,55.0,-25.833333333333343
1,1000,12.89418179344064,8.866553582447079,-4.027628210993562,3.3010137881671104,3.2250711140609747,-0.07594267410613575,15.58482748653054,5.527051164909946,-10.057776321620594,93.33333333333334,41.66666666666667,-51.66666666666667
2,1000,24.468656667393972,24.461149001363115,-0.007507666030857507,2.9841417874120113,4.699115971656142,1.7149741842441308,12.061815930568054,13.605925250904605,1.5441093203365508,74.16666666666667,58.33333333333333,-15.833333333333343
3,1000,24.302549556461162,23.810328202312835,-0.49222135414832735,3.330572769081323,4.555575047422274,1.225002278340951,13.152508275144159,10.43656554542216,-2.7159427297219985,82.5,58.333333333333336,-24.166666666666664
4,1000,15.874490593129087,24.22465752139098,8.350166928261894,2.9464126511668067,5.457961532739758,2.5115488815729514,13.63133626195594,13.925357543618988,0.2940212816630474,83.33333333333333,53.33333333333333,-30.0
5,1000,2.709798208013958,0.30499893250373056,-2.4047992755102277,3.7447409973130514,4.192461660612165,0.4477206632991133,11.33361205646879,4.398616601269478,-6.934995455199311,80.0,60.833333333333336,-19.166666666666664
6,1000,11.280502825932427,6.277347260053823,-5.003155565878604,3.0895742767776024,4.162232442212152,1.0726581654345493,10.97166954427291,7.307680189623533,-3.6639893546493765,86.66666666666667,73.33333333333333,-13.333333333333343
7,1000,27.186431770565722,17.15290534944667,-10.033526421119053,3.623021321086589,3.612566104748028,-0.010455216338560724,20.552144728225286,15.537825431525466,-5.014319296699821,87.5,35.0,-52.5
8,1000,24.608956176345686,23.970804563722492,-0.6381516126231936,3.071399219067343,5.390472220945187,2.3190730018778445,-1.6139193158462573,11.937928317469272,13.551847633315528,77.5,39.166666666666664,-38.333333333333336
9,1000,25.942739969640872,23.875081821829003,-2.067658147811869,3.9602926764142223,4.047045400907309,0.08675272449308657,11.042222662486733,18.983924169972877,7.941701507486144,94.16666666666667,48.33333333333333,-45.83333333333334
10,1000,19.722169433945446,17.220943572851333,-2.501225861094113,3.5427130846618455,3.4678114395263075,-0.07490164513553799,14.55619185357111,13.146165721861248,-1.4100261317098628,83.33333333333334,46.666666666666664,-36.66666666666668
11,1000,5.275073844933842,14.673733257318222,9.39865941238438,3.0386893371447785,4.720497601794475,1.6818082646496961,14.528556770868416,85.30033902234071,70.77178225147229,69.16666666666667,42.5,-26.66666666666667
12,1000,31.400343944950038,27.791268115176983,-3.6090758297730545,3.339791827320054,4.696535431946079,1.3567436046260246,14.387452178181558,14.104220238629006,-0.283231939552552,82.5,77.5,-5.0
13,1000,-11.255164453078258,-7.306132120845266,3.949032332232992,2.609529017040612,4.247171282038649,1.6376422649980373,10.57970563524908,0.3923830666954231,-10.187322568553657,66.66666666666667,46.66666666666667,-20.0
14,1000,51.30809349859584,32.36859824836766,-18.939495250228177,3.3522816059115517,3.8446643997173893,0.4923827938058376,15.585775687544778,14.656077090306274,-0.9296985972385041,75.83333333333334,50.833333333333336,-25.000000000000007
15,1000,41.1286368190019,32.08565308482958,-9.042983734172317,3.985918305503143,4.87823701811805,0.8923187126149066,23.358724755598903,13.369865271311433,-9.98885948428747,77.5,60.0,-17.5
16,1000,25.93476307448308,14.214123327491436,-11.720639746991644,3.1691035411528077,3.10325074594054,-0.06585279521226761,12.131635431558685,4.338026257431404,-7.793609174127281,73.33333333333334,27.5,-45.83333333333334
17,1000,-13.276368917324177,-6.793968528802452,6.482400388521725,2.898439562540732,3.712912018498244,0.814472455957512,8.164991001055055,-0.6129319182660464,-8.777922919321101,60.0,14.166666666666668,-45.83333333333333
18,1000,14.779544425440672,11.62914006724054,-3.1504043582001326,3.5273715507097987,3.6205114178516498,0.09313986714185107,14.575282306170912,4.880431015469933,-9.69485129070098,75.0,53.333333333333336,-21.666666666666664
19,1000,12.390229711119094,16.119193582822454,3.7289638717033604,3.671613313374109,4.113831160574658,0.4422178472005487,12.710036928284252,9.808849583259605,-2.9011873450246473,82.5,66.66666666666666,-15.833333333333343
