date,price
1972-06-01,211601.23
1972-07-01,212702.0
1972-08-01,213005.43
1972-09-01,212337.87
1972-10-01,211173.07
1972-11-01,210835.48
1972-12-01,210499.48
1973-01-01,209526.23
1973-02-01,208061.01
1973-03-01,206296.1
1973-04-01,204876.63
1973-05-01,203941.49
1973-06-01,203019.05
1973-07-01,202407.19
1973-08-01,200626.99
1973-09-01,200935.65
1973-10-01,200665.05
1973-11-01,200242.79
1973-12-01,200267.8
1974-01-01,200154.67
1974-02-01,199195.82
1974-03-01,198830.37
1974-04-01,198710.61
1974-05-01,197237.26
1974-06-01,196737.86
1974-07-01,196108.9
1974-08-01,195524.44
1974-09-01,195088.23
1974-10-01,194776.97
1974-11-01,194717.25
1974-12-01,196231.45
1975-01-01,199195.49
1975-02-01,198006.42
1975-03-01,197761.59
1975-04-01,197340.03
1975-05-01,196814.02
1975-06-01,195222.68
1975-07-01,194099.76
1975-08-01,194892.09
1975-09-01,195777.27
1975-10-01,196151.42
1975-11-01,196114.16
1975-12-01,195962.52
1976-01-01,196326.66
1976-02-01,195998.4
1976-03-01,197367.22
1976-04-01,198633.15
1976-05-01,199553.28
1976-06-01,199114.0
1976-07-01,199700.79
1976-08-01,199952.29
1976-09-01,200691.38
1976-10-01,200304.18
1976-11-01,201120.28
1976-12-01,202094.73
1977-01-01,202729.45
1977-02-01,203027.37
1977-03-01,204548.1
1977-04-01,206451.33
1977-05-01,207965.03
1977-06-01,208157.73
1977-07-01,209268.58
1977-08-01,210698.85
1977-09-01,212762.06
1977-10-01,214738.5
1977-11-01,215907.45
1977-12-01,217156.73
1978-01-01,217942.28
1978-02-01,218985.58
1978-03-01,220284.16
1978-04-01,221427.41
1978-05-01,222379.79
1978-06-01,223306.02
1978-07-01,224726.32
1978-08-01,226654.79
1978-09-01,227310.14
1978-10-01,227462.92
1978-11-01,228827.23
1978-12-01,230513.18
1979-01-01,231543.23
1979-02-01,231739.61
1979-03-01,232457.98
1979-04-01,232808.56
1979-05-01,232859.63
1979-06-01,233197.52
1979-07-01,233230.19
1979-08-01,233344.46
1979-09-01,232796.78
1979-10-01,232987.64
1979-11-01,232494.91
1979-12-01,231456.94
1980-01-01,229340.65
1980-02-01,227449.96
1980-03-01,225955.22
1980-04-01,225538.93
1980-05-01,224914.91
1980-06-01,223818.21
1980-07-01,225372.79
1980-08-01,225056.17
1980-09-01,224266.29
1980-10-01,223066.03
1980-11-01,222128.52
1980-12-01,220940.41
1981-01-01,219837.86
1981-02-01,218460.81
1981-03-01,218274.64
1981-04-01,218736.38
1981-05-01,218540.75
1981-06-01,218011.96
1981-07-01,216739.48
1981-08-01,216199.4
1981-09-01,214517.09
1981-10-01,214348.0
1981-11-01,213674.9
1981-12-01,213163.35
1982-01-01,212628.95
1982-02-01,212297.67
1982-03-01,212404.97
1982-04-01,211786.7
1982-05-01,210071.45
1982-06-01,207455.69
1982-07-01,206337.06
1982-08-01,205822.18
1982-09-01,205473.03
1982-10-01,204849.5
1982-11-01,205280.12
1982-12-01,206470.73
1983-01-01,206737.3
1983-02-01,207600.21
1983-03-01,208460.32
1983-04-01,208046.84
1983-05-01,207827.8
1983-06-01,208216.71
1983-07-01,208567.15
1983-08-01,208865.06
1983-09-01,208382.75
1983-10-01,208154.2
1983-11-01,208026.94
1983-12-01,208364.92
1984-01-01,207742.69
1984-02-01,207394.19
1984-03-01,207934.74
1984-04-01,208085.67
1984-05-01,208788.87
1984-06-01,209385.03
1984-07-01,209732.63
1984-08-01,209932.14
1984-09-01,209550.58
1984-10-01,209339.72
1984-11-01,209370.95
1984-12-01,209823.44
1985-01-01,210145.94
1985-02-01,210104.06
1985-03-01,210507.09
1985-04-01,210948.02
1985-05-01,211769.43
1985-06-01,212698.31
1985-07-01,213824.01
1985-08-01,214899.91
1985-09-01,215692.75
1985-10-01,216115.81
1985-11-01,216700.5
1985-12-01,217255.67
1986-01-01,217961.48
1986-02-01,219852.48
1986-03-01,222527.74
1986-04-01,224991.31
1986-05-01,226506.35
1986-06-01,227504.68
1986-07-01,229762.89
1986-08-01,231332.24
1986-09-01,231993.48
1986-10-01,233082.81
1986-11-01,234036.24
1986-12-01,235545.5
1987-01-01,235492.27
1987-02-01,236120.44
1987-03-01,236298.44
1987-04-01,236880.96
1987-05-01,238131.44
1987-06-01,239713.32
1987-07-01,241117.09
1987-08-01,241575.93
1987-09-01,241583.52
1987-10-01,241948.87
1987-11-01,242419.06
1987-12-01,243312.46
1988-01-01,243522.96
1988-02-01,244072.29
1988-03-01,244459.78
1988-04-01,244831.26
1988-05-01,246161.68
1988-06-01,247412.59
1988-07-01,248510.81
1988-08-01,249192.48
1988-09-01,248862.19
1988-10-01,248881.49
1988-11-01,249504.31
1988-12-01,249812.84
1989-01-01,249718.19
1989-02-01,249873.66
1989-03-01,249927.96
1989-04-01,249831.95
1989-05-01,249842.7
1989-06-01,250562.67
1989-07-01,251100.88
1989-08-01,251459.33
1989-09-01,251140.99
1989-10-01,250157.11
1989-11-01,249662.16
1989-12-01,249184.77
1990-01-01,246732.34
1990-02-01,245768.32
1990-03-01,245079.46
1990-04-01,245499.03
1990-05-01,245749.24
1990-06-01,245073.18
1990-07-01,244297.28
1990-08-01,241810.57
1990-09-01,239029.18
1990-10-01,236624.52
1990-11-01,234460.8
1990-12-01,233205.21
1991-01-01,231338.84
1991-02-01,231804.09
1991-03-01,232175.71
1991-04-01,231832.25
1991-05-01,231515.79
1991-06-01,232025.44
1991-07-01,231547.56
1991-08-01,230755.55
1991-09-01,229973.37
1991-10-01,230137.19
1991-11-01,230463.41
1991-12-01,230634.99
1992-01-01,230391.17
1992-02-01,231132.67
1992-03-01,230194.74
1992-04-01,229663.82
1992-05-01,229669.36
1992-06-01,229583.21
1992-07-01,229757.87
1992-08-01,230321.08
1992-09-01,230153.89
1992-10-01,229825.45
1992-11-01,229962.25
1992-12-01,229202.67
1993-01-01,227487.97
1993-02-01,226127.36
1993-03-01,226597.68
1993-04-01,227849.51
1993-05-01,228354.06
1993-06-01,229741.32
1993-07-01,229762.89
1993-08-01,230203.4
1993-09-01,230092.26
1993-10-01,229358.44
1993-11-01,229735.05
1993-12-01,230098.12
1994-01-01,229340.78
1994-02-01,228792.6
1994-03-01,229496.21
1994-04-01,230367.81
1994-05-01,231436.05
1994-06-01,231937.57
1994-07-01,231543.21
1994-08-01,231363.16
1994-09-01,230285.18
1994-10-01,230381.08
1994-11-01,230239.7
1994-12-01,229553.28
1995-01-01,228595.47
1995-02-01,228780.19
1995-03-01,228456.55
1995-04-01,228832.01
1995-05-01,229240.22
1995-06-01,230381.9
1995-07-01,231423.25
1995-08-01,231489.87
1995-09-01,230853.63
1995-10-01,229900.06
1995-11-01,230171.36
1995-12-01,230524.17
1996-01-01,229402.28
1996-02-01,228882.92
1996-03-01,229386.8
1996-04-01,229562.11
1996-05-01,230315.37
1996-06-01,231181.82
1996-07-01,231493.74
1996-08-01,231091.83
1996-09-01,230241.2
1996-10-01,229297.59
1996-11-01,229099.46
1996-12-01,229119.1
1997-01-01,228125.05
1997-02-01,227898.13
1997-03-01,229099.37
1997-04-01,229785.2
1997-05-01,231601.36
1997-06-01,232186.53
1997-07-01,232401.62
1997-08-01,232800.71
1997-09-01,231856.02
1997-10-01,231995.07
1997-11-01,232389.36
1997-12-01,232735.42
1998-01-01,232708.01
1998-02-01,233853.91
1998-03-01,235110.75
1998-04-01,236286.3
1998-05-01,237667.92
1998-06-01,239630.48
1998-07-01,239947.37
1998-08-01,240473.1
1998-09-01,241073.68
1998-10-01,240998.34
1998-11-01,242080.58
1998-12-01,242551.25
1999-01-01,242851.49
1999-02-01,243483.75
1999-03-01,244765.19
1999-04-01,244777.79
1999-05-01,247157.18
1999-06-01,249105.66
1999-07-01,249647.36
1999-08-01,250354.17
1999-09-01,249309.67
1999-10-01,249790.63
1999-11-01,250049.25
1999-12-01,250530.29
2000-01-01,252204.73
2000-02-01,250352.66
2000-03-01,251142.74
2000-04-01,253431.93
2000-05-01,255097.27
2000-06-01,256384.49
2000-07-01,257052.39
2000-08-01,257827.25
2000-09-01,257495.23
2000-10-01,257910.26
2000-11-01,258620.61
2000-12-01,259538.75
2001-01-01,259046.42
2001-02-01,259609.05
2001-03-01,261370.09
2001-04-01,262606.52
2001-05-01,263544.54
2001-06-01,265339.52
2001-07-01,267525.45
2001-08-01,268560.47
2001-09-01,268298.54
2001-10-01,270133.15
2001-11-01,270660.19
2001-12-01,272595.89
2002-01-01,272859.32
2002-02-01,273291.19
2002-03-01,274444.64
2002-04-01,275238.9
2002-05-01,278252.27
2002-06-01,280815.06
2002-07-01,282353.18
2002-08-01,282914.83
2002-09-01,283650.15
2002-10-01,284503.26
2002-11-01,285121.56
2002-12-01,286905.28
2003-01-01,286516.07
2003-02-01,286145.0
2003-03-01,286447.85
2003-04-01,289747.97
2003-05-01,293140.35
2003-06-01,295160.38
2003-07-01,297142.15
2003-08-01,297938.34
2003-09-01,298738.49
2003-10-01,300020.84
2003-11-01,302133.44
2003-12-01,303846.74
2004-01-01,303278.08
2004-02-01,304207.92
2004-03-01,305549.9
2004-04-01,308218.57
2004-05-01,310838.69
2004-06-01,314106.88
2004-07-01,317202.0
2004-08-01,319121.45
2004-09-01,320170.96
2004-10-01,319880.25
2004-11-01,321457.17
2004-12-01,324177.71
2005-01-01,324559.08
2005-02-01,325555.0
2005-03-01,327603.59
2005-04-01,329575.37
2005-05-01,334367.33
2005-06-01,338229.78
2005-07-01,339938.72
2005-08-01,340554.33
2005-09-01,338510.54
2005-10-01,338737.43
2005-11-01,342362.71
2005-12-01,344292.38
2006-01-01,342394.67
2006-02-01,343147.13
2006-03-01,344032.0
2006-04-01,343277.5
2006-05-01,344365.52
2006-06-01,344806.93
2006-07-01,343438.37
2006-08-01,343406.03
2006-09-01,343932.17
2006-10-01,345174.29
2006-11-01,345240.05
2006-12-01,343106.64
2007-01-01,341954.8
2007-02-01,341098.94
2007-03-01,340644.28
2007-04-01,340268.6
2007-05-01,338531.37
2007-06-01,337891.52
2007-07-01,336034.15
2007-08-01,334809.46
2007-09-01,331260.71
2007-10-01,326902.3
2007-11-01,321386.81
2007-12-01,318148.29
2008-01-01,312680.24
2008-02-01,310568.67
2008-03-01,306295.63
2008-04-01,303057.71
2008-05-01,299089.62
2008-06-01,295493.86
2008-07-01,291076.65
2008-08-01,288832.09
2008-09-01,285432.03
2008-10-01,285138.47
2008-11-01,284329.92
2008-12-01,284664.85
2009-01-01,284345.58
2009-02-01,283951.09
2009-03-01,280832.21
2009-04-01,280439.55
2009-05-01,281699.33
2009-06-01,280556.13
2009-07-01,280076.29
2009-08-01,278295.37
2009-09-01,276636.37
2009-10-01,276139.73
2009-11-01,275742.92
2009-12-01,271615.25
2010-01-01,269296.28
2010-02-01,268467.75
2010-03-01,268085.25
2010-04-01,270277.06
2010-05-01,272365.48
2010-06-01,271260.2
2010-07-01,269560.44
2010-08-01,268104.78
2010-09-01,264228.38
2010-10-01,263373.0
2010-11-01,261397.97
2010-12-01,256971.66
2011-01-01,252557.94
2011-02-01,249391.0
2011-03-01,245644.98
2011-04-01,246773.06
2011-05-01,247326.37
2011-06-01,249784.93
2011-07-01,250046.2
2011-08-01,247777.91
2011-09-01,247594.38
2011-10-01,245919.52
2011-11-01,246099.62
2011-12-01,245314.53
2012-01-01,241698.38
2012-02-01,241609.94
2012-03-01,243345.3
2012-04-01,245941.57
2012-05-01,250173.35
2012-06-01,253173.15
2012-07-01,254048.55
2012-08-01,253250.78
2012-09-01,251708.6
2012-10-01,251752.69
2012-11-01,253384.01
2012-12-01,253281.64
2013-01-01,252751.17
2013-02-01,252401.27
2013-03-01,256398.31
2013-04-01,260012.9
2013-05-01,264215.94
2013-06-01,267023.9
2013-07-01,268265.06
2013-08-01,267290.36
2013-09-01,266900.07
2013-10-01,266855.88
2013-11-01,266493.54
2013-12-01,266289.27
2014-01-01,264729.88
2014-02-01,265107.33
2014-03-01,266547.27
2014-04-01,268587.27
2014-05-01,270754.51
2014-06-01,273347.54
2014-07-01,274395.25
2014-08-01,274330.74
2014-09-01,272947.1
2014-10-01,273490.29
2014-11-01,275344.19
2014-12-01,276808.24
2015-01-01,276984.52
2015-02-01,278267.5
2015-03-01,280168.57
2015-04-01,282719.28
2015-05-01,285383.93
2015-06-01,287127.9
2015-07-01,288126.35
2015-08-01,287659.57
2015-09-01,287807.1
2015-10-01,287949.68
2015-11-01,288873.61
2015-12-01,289469.16
2016-01-01,288833.71
2016-02-01,289502.3
2016-03-01,293177.63
2016-04-01,295177.94
2016-05-01,297773.4
2016-06-01,299757.16
2016-07-01,301433.51
2016-08-01,301105.2
2016-09-01,300447.57
2016-10-01,300047.69
2016-11-01,300669.95
2016-12-01,300661.85
2017-01-01,297906.84
2017-02-01,299554.56
2017-03-01,303909.2
2017-04-01,307136.49
2017-05-01,310665.76
2017-06-01,312608.77
2017-07-01,314122.09
2017-08-01,313894.51
2017-09-01,312026.75
2017-10-01,311870.62
2017-11-01,312885.54
2017-12-01,312690.64
2018-01-01,312114.47
2018-02-01,314019.54
2018-03-01,317191.63
2018-04-01,318607.8
2018-05-01,320976.47
2018-06-01,322603.45
2018-07-01,323557.82
2018-08-01,323761.0
2018-09-01,322386.08
2018-10-01,321361.92
2018-11-01,323096.68
2018-12-01,323140.42
2019-01-01,323292.47
2019-02-01,324346.07
2019-03-01,326323.89
2019-04-01,328126.54
2019-05-01,330931.31
2019-06-01,332701.06
2019-07-01,333080.56
2019-08-01,333097.44
2019-09-01,333370.28
2019-10-01,332755.07
2019-11-01,333454.17
2019-12-01,334448.5
2020-01-01,334314.69
2020-02-01,337481.66
2020-03-01,341607.67
2020-04-01,346712.83
2020-05-01,347519.76
2020-06-01,349916.36
2020-07-01,352565.84
